Data,Pedido,Título
02-10-2017 10:29:00,9005,BSS Brastel - Novo Pedido - secvirtual
02-10-2017 10:41:41,9020,BSS Brastel - Novo Pedido - networkpartners
02-10-2017 10:45:19,9020,BSS Brastel - Novo Pedido - networkpartners
02-10-2017 14:29:35,8988,BSS Brastel - Novo Pedido - gerem
02-10-2017 14:46:46,8974,BSS Brastel - Novo Pedido - profl
02-10-2017 15:20:54,8987,BSS Brastel - Novo Pedido - abellha
03-10-2017 14:20:08,9023,BSS Brastel - Novo Pedido - allianzaws
03-10-2017 15:43:16,9027,BSS Brastel - Novo Pedido - locus
04-10-2017 11:19:24,9028,BSS Brastel - Novo Pedido - crmliquor
04-10-2017 16:14:58,8987,BSS Brastel - Novo Pedido - abellha
05-10-2017 18:28:00,9031,BSS Brastel - Novo Pedido - bamboo
06-10-2017 14:20:10,9037,BSS Brastel - Novo Pedido - qualityinsur
06-10-2017 16:46:02,9039,BSS Brastel - Novo Pedido - unotrade
09-10-2017 16:20:05,9039,BSS Brastel - Novo Pedido - unotrade
09-10-2017 18:46:41,9030,BSS Brastel - Novo Pedido - oxigenio
10-10-2017 14:57:34,9042,BSS Brastel - Novo Pedido - clubup
10-10-2017 16:37:33,9030,BSS Brastel - Novo Pedido - oxigenio
11-10-2017 12:19:25,9042,BSS Brastel - Novo Pedido - clubup
11-10-2017 15:19:52,9048,BSS Brastel - Novo Pedido - larc
11-10-2017 15:47:24,9048,BSS Brastel - Novo Pedido - larc
11-10-2017 18:38:12,9054,BSS Brastel - Novo Pedido - oxigenio
16-10-2017 11:02:18,9054,BSS Brastel - Novo Pedido - oxigenio
16-10-2017 12:02:42,9056,BSS Brastel - Novo Pedido - paratycapital
16-10-2017 12:39:43,9058,BSS Brastel - Novo Pedido - directtalk
16-10-2017 12:49:53,9056,BSS Brastel - Novo Pedido - paratycapital
16-10-2017 13:50:32,9060,BSS Brastel - Novo Pedido - meucambio
16-10-2017 14:17:31,9060,BSS Brastel - Novo Pedido - meucambio
16-10-2017 16:41:52,9062,BSS Brastel - Novo Pedido - pafashion
18-10-2017 11:13:03,9062,BSS Brastel - Novo Pedido - pafashion
18-10-2017 12:17:38,9058,BSS Brastel - Novo Pedido - directtalk
18-10-2017 12:47:10,9071,BSS Brastel - Novo Pedido - barraforte
18-10-2017 13:06:20,9071,BSS Brastel - Novo Pedido - barraforte
18-10-2017 13:07:59,9072,BSS Brastel - Novo Pedido - lb
18-10-2017 15:04:38,9072,BSS Brastel - Novo Pedido - lb
18-10-2017 15:54:12,9069,BSS Brastel - Novo Pedido - brasteljp
18-10-2017 17:15:32,9066,BSS Brastel - Novo Pedido - secvirtual
19-10-2017 09:13:48,9037,BSS Brastel - Novo Pedido - qualityinsur
19-10-2017 15:38:27,9079,BSS Brastel - Novo Pedido - secvirtual
19-10-2017 16:23:06,9081,BSS Brastel - Novo Pedido - tecdisa
19-10-2017 17:22:16,9081,BSS Brastel - Novo Pedido - tecdisa
23-10-2017 12:38:13,9073,BSS Brastel - Novo Pedido - cetes
23-10-2017 13:57:26,9073,BSS Brastel - Novo Pedido - cetes
23-10-2017 13:58:56,9066,BSS Brastel - Novo Pedido - secvirtual
23-10-2017 13:59:09,9073,BSS Brastel - Novo Pedido - cetes
23-10-2017 14:40:21,9088,BSS Brastel - Novo Pedido - connectcom
23-10-2017 14:50:24,9091,BSS Brastel - Novo Pedido - atlantatur
23-10-2017 14:52:48,9098,BSS Brastel - Novo Pedido - tres
23-10-2017 14:56:50,9095,BSS Brastel - Novo Pedido - qsoft
23-10-2017 14:59:45,9089,BSS Brastel - Novo Pedido - dinheiro
23-10-2017 15:03:12,9086,BSS Brastel - Novo Pedido - ccastilho
23-10-2017 15:11:13,9085,BSS Brastel - Novo Pedido - brastel
23-10-2017 15:36:15,9099,BSS Brastel - Novo Pedido - visotech
23-10-2017 15:57:29,9066,BSS Brastel - Novo Pedido - secvirtual
23-10-2017 18:37:51,9101,BSS Brastel - Novo Pedido - zencard
23-10-2017 19:47:40,9102,BSS Brastel - Novo Pedido - feneb
24-10-2017 09:02:31,9079,BSS Brastel - Novo Pedido - secvirtual
24-10-2017 11:03:59,9100,BSS Brastel - Novo Pedido - secsaudesp
24-10-2017 12:37:41,9103,BSS Brastel - Novo Pedido - fluxofiltracao
24-10-2017 13:27:25,9078,BSS Brastel - Novo Pedido - secvirtual
24-10-2017 15:39:48,9103,BSS Brastel - Novo Pedido - fluxofiltracao
24-10-2017 15:56:04,9078,BSS Brastel - Novo Pedido - secvirtual
26-10-2017 10:55:52,9010,BSS Brastel - Novo Pedido - tjb
26-10-2017 13:04:32,9107,BSS Brastel - Novo Pedido - fdcconsult
26-10-2017 13:04:38,9073,BSS Brastel - Novo Pedido - cetes
26-10-2017 14:13:53,9107,BSS Brastel - Novo Pedido - fdcconsult
26-10-2017 14:20:51,9106,BSS Brastel - Novo Pedido - lactalis
26-10-2017 15:28:06,9065,BSS Brastel - Novo Pedido - secvirtual
26-10-2017 15:30:15,9108,BSS Brastel - Novo Pedido - secvirtual
26-10-2017 15:40:38,9065,BSS Brastel - Novo Pedido - secvirtual
30-10-2017 18:07:28,9114,BSS Brastel - Novo Pedido - brastel
30-10-2017 18:49:13,9115,BSS Brastel - Novo Pedido - spdm
31-10-2017 11:12:42,9116,BSS Brastel - Novo Pedido - hirashima
31-10-2017 12:00:01,9117,BSS Brastel - Novo Pedido - allianzaws
31-10-2017 12:05:19,9090,BSS Brastel - Novo Pedido - teraidc
31-10-2017 12:21:25,9108,BSS Brastel - Novo Pedido - secvirtual
31-10-2017 15:59:22,9114,BSS Brastel - Novo Pedido - brastel
31-10-2017 16:50:28,9114,BSS Brastel - Novo Pedido - brastel
31-10-2017 16:58:17,9115,BSS Brastel - Novo Pedido - spdm
